66, 4612100, 287496
46, 343800, 97336
35, 225100, 42875
28, 207600, 21952
95, 2217700, 857375
51, 362300, 132651
43, 235800, 79507
44, 250200, 85184
82, 1600500, 551368
51, 296200, 132651
26, 106800, 17576
95, 2256100, 857375
51, 385200, 132651
94, 1909400, 830584
66, 956200, 287496
31, 173100, 29791
59, 525200, 205379
68, 806800, 314432
52, 438900, 140608
88, 1638800, 681472
71, 1076200, 357911
39, 293900, 59319
80, 1323800, 512000
64, 823300, 262144
31, 116200, 29791
82, 1648500, 551368
92, 1697500, 778688
54, 466000, 157464
94, 1406400, 830584
78, 1148100, 474552
74, 896200, 405224
66, 651500, 287496
27, 102700, 19683
19, 57200, 6859
37, 118300, 50653
33, 139500, 35937
81, 769300, 531441
32, 97900, 32768
75, 650300, 421875
43, 243500, 79507
35, 155900, 42875
31, 139400, 29791
11, 76400, 1331
78, 1316800, 474552
19, 59800, 6859
89, 912300, 704969
97, 1145500, 912673
83, 1131800, 571787
69, 467100, 328509
50, 202700, 125000
