72, 5090001, 373248

51, 165301, 132651

16, 23700, 4096

14, 36500, 2744

67, 255700, 300763

86, 433400, 636056

10, 5700, 1000

81, 476900, 531441

92, 667601, 778688

17, 39900, 4913

15, 128500, 3375

61, 410800, 226981

63, 449301, 250047

26, 36000, 17576

43, 153000, 79507

44, 114300, 85184

32, 43100, 32768

87, 763200, 658503

73, 554200, 389017

42, 93200, 74088

32, 43501, 32768

14, 3299, 2744

26, 36501, 17576

27, 45600, 19683

30, 51699, 27000

12, 3201, 1728

15, 7100, 3375

49, 212101, 117649

45, 114899, 91125

76, 513099, 438976

32, 43300, 32768

14, 3300, 2744

13, 2700, 2197

18, 7000, 5832

16, 4800, 4096

69, 390200, 328509

65, 334900, 274625

13, 2700, 2197

12, 2200, 1728

11, 1700, 1331

38, 70100, 54872

68, 377300, 314432

76, 538500, 438976

58, 271600, 195112

31, 63399, 29791

58, 237099, 195112

27, 26899, 19683

52, 172299, 140608

61, 272399, 226981

13, 2800, 2197

41, 87900, 68921

26, 24100, 17576

65, 327399, 274625

48, 209101, 110592

91, 902100, 753571

92, 944101, 778688

88, 1143900, 681472

25, 28300, 15625

24, 23199, 13824

32, 64899, 32768

53, 215200, 148877

51, 185000, 132651

20, 12899, 8000

53, 199900, 148877

99, 1290199, 970299

69, 390699, 328509

90, 843201, 729000

54, 192701, 157464

77, 536400, 456533

35, 55500, 42875

26, 25500, 17576

32, 43100, 32768

11, 1700, 1331

55, 202500, 166375

36, 59900, 46656

25, 32399, 15625

13, 3800, 2197

28, 33600, 21952

36, 60001, 46656

48, 137900, 110592

70, 405101, 343000

70, 482800, 343000

36, 62200, 46656

97, 1096100, 912673

27, 26801, 19683

52, 170900, 140608

82, 642300, 551368

72, 442000, 373248

61, 340400, 226981

49, 226200, 117649

10, 2099, 1000

77, 635199, 456533

93, 1397501, 804357

69, 388999, 328509

74, 515301, 405224

81, 724399, 531441

34, 54399, 39304

39, 120900, 59319

33, 75200, 35937

53, 295601, 148877
